3.255175,-76.562691
3.260660,-76.570888
3.257875,-76.572733
3.257371,-76.561084
3.260499,-76.568411
3.255917,-76.562871
3.255842,-76.562796
3.255745,-76.562689
3.255970,-76.562753
3.255777,-76.562496
3.255424,-76.562303
3.255349,-76.562185
3.255274,-76.562088
3.255199,-76.561970
3.255349,-76.561895
3.255553,-76.562131
3.255735,-76.562464
3.256966,-76.562195
3.256881,-76.562056
3.256680,-76.561786
3.257044,-76.562023
3.256947,-76.561776
3.256808,-76.561668
3.256701,-76.561475
3.256605,-76.561325
3.256509,-76.561143
3.256295,-76.561272
3.256423,-76.561444
3.256616,-76.561723
3.260119,-76.567817
3.260247,-76.568664
3.260365,-76.569479
3.260290,-76.570477
3.258999,-76.568605
3.259267,-76.569394
3.259390,-76.570236
3.259358,-76.571110
3.258630,-76.571496
3.257767,-76.572011
3.257130,-76.571346
3.257173,-76.572730
3.256161,-76.573310

